rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
14,39,17.7,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (89 mm) + reinforced_concrete (244 mm),333,puf (62 mm) + concrete (192 mm),254,puf (50 mm) + reinforced_concrete (171 mm),221,2x triple (3.6 m2),0.24,0.317,0.388,26.75,5.6,4.6,6.97,5.68,2.37,0.0
15,48,17.6,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (55 mm) + adobe (407 mm),462,puf (107 mm) + wood_timber (137 mm),244,puf (51 mm) + stone_masonry (221 mm),272,2x double (3.6 m2),0.172,0.171,0.379,12.74,8.31,4.39,11.7,8.24,7.31,0.0
16,8,17.1,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (110 mm) + stone_masonry (539 mm),649,puf (118 mm) + reinforced_concrete (191 mm),309,stone_masonry (196 mm),196,2x triple (3.6 m2),0.195,0.189,1.709,51.81,4.8,4.42,5.06,4.77,0.64,0.0
17,19,16.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (114 mm) + stone_masonry (491 mm),605,straw_clay (211 mm),211,puf (83 mm) + stone_masonry (277 mm),360,2x double (3.6 m2),0.19,0.621,0.254,46.98,4.9,4.42,5.46,4.89,1.04,0.0
18,10,16.7,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (51 mm) + stone_masonry (428 mm),479,puf (118 mm) + wood_timber (156 mm),274,puf (52 mm) + stone_masonry (195 mm),247,2x double (3.6 m2),0.367,0.156,0.375,39.5,4.99,4.43,5.77,5.01,1.34,0.0
19,4,15.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (56 mm) + rammed_earth (457 mm),513,puf (111 mm) + reinforced_concrete (125 mm),236,puf (48 mm) + reinforced_concrete (184 mm),232,2x double (3.6 m2),0.302,0.2,0.4,22.13,5.41,4.4,7.07,5.52,2.67,0.0
20,6,14.4,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (115 mm) + rammed_earth (491 mm),606,puf (80 mm) + straw_clay (293 mm),373,concrete (157 mm),157,2x triple (3.6 m2),0.175,0.191,1.565,18.18,5.04,4.13,6.24,5.08,2.12,0.0
21,29,13.0,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (100 mm) + straw_clay (358 mm),458,puf (93 mm) + straw_clay (237 mm),330,stone_masonry (229 mm),229,2x triple (3.6 m2),0.157,0.183,1.668,13.22,5.15,3.92,6.7,5.19,2.78,0.0
22,37,11.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (101 mm) + rammed_earth (404 mm),505,puf (70 mm) + straw_clay (304 mm),374,stone_masonry (189 mm),189,2x triple (3.6 m2),0.198,0.204,1.718,19.68,4.57,3.67,5.36,4.52,1.7,0.0
23,25,11.4,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (91 mm) + reinforced_concrete (243 mm),334,puf (108 mm) + wood_timber (190 mm),298,concrete (177 mm),177,2x double (3.6 m2),0.236,0.159,1.523,21.71,4.61,3.63,5.57,4.56,1.94,0.0
24,16,11.0,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (100 mm) + reinforced_concrete (167 mm),267,puf (114 mm) + concrete (166 mm),280,puf (66 mm) + concrete (162 mm),228,2x single (3.6 m2),0.219,0.192,0.305,19.6,5.0,3.66,6.76,5.05,3.1,0.0
25,34,10.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (116 mm) + stone_masonry (324 mm),440,puf (73 mm) + concrete (141 mm),214,reinforced_concrete (134 mm),134,2x double (3.6 m2),0.189,0.282,1.791,32.42,4.3,3.51,4.92,4.24,1.41,0.0
26,5,10.5,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (78 mm) + rammed_earth (340 mm),418,puf (91 mm) + reinforced_concrete (174 mm),265,puf (87 mm) + stone_masonry (223 mm),310,2x single (3.6 m2),0.247,0.237,0.245,23.5,4.63,3.51,5.83,4.6,2.32,0.0
27,28,10.3,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (116 mm) + rammed_earth (402 mm),518,puf (61 mm) + wood_timber (188 mm),249,stone_masonry (194 mm),194,2x double (3.6 m2),0.177,0.228,1.711,19.04,4.57,3.46,5.66,4.53,2.2,0.0
28,11,10.0,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (91 mm) + reinforced_concrete (205 mm),296,puf (107 mm) + concrete (170 mm),277,concrete (164 mm),164,2x double (3.6 m2),0.236,0.203,1.55,22.23,4.4,3.38,5.2,4.33,1.82,0.0
29,3,9.6,6.0,4.0,2.8,24.0,1.5,1.19,6.4,straw_clay (390 mm),390,puf (90 mm) + straw_clay (289 mm),379,puf (60 mm) + stone_masonry (328 mm),388,2x double (3.6 m2),0.392,0.178,0.329,16.43,4.74,3.42,6.26,4.73,2.84,0.0
30,38,8.6,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (87 mm) + stone_masonry (422 mm),509,puf (68 mm) + reinforced_concrete (132 mm),200,reinforced_concrete (174 mm),174,2x double (3.6 m2),0.24,0.305,1.737,41.08,3.96,3.3,4.93,3.99,1.63,0.0
31,45,7.6,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (84 mm) + concrete (250 mm),334,straw_clay (239 mm),239,puf (50 mm) + reinforced_concrete (155 mm),205,2x double (3.6 m2),0.245,0.569,0.39,19.12,4.32,3.03,5.33,4.24,2.3,0.0
32,42,6.3,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (74 mm) + straw_clay (295 mm),369,puf (93 mm) + concrete (151 mm),244,concrete (199 mm),199,2x double (3.6 m2),0.199,0.23,1.479,11.9,4.65,2.93,6.51,4.65,3.59,0.0
33,40,5.9,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (63 mm) + rammed_earth (401 mm),464,puf (89 mm) + wood_timber (107 mm),196,stone_masonry (314 mm),314,2x double (3.6 m2),0.284,0.205,1.571,22.86,3.94,2.8,4.87,3.86,2.07,0.0
34,36,5.2,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (66 mm) + reinforced_concrete (228 mm),294,puf (90 mm) + concrete (174 mm),264,stone_masonry (273 mm),273,2x triple (3.6 m2),0.309,0.235,1.616,29.5,3.63,2.85,4.91,3.7,2.06,0.0
35,41,4.0,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (69 mm) + concrete (208 mm),277,puf (75 mm) + straw_clay (296 mm),371,concrete (151 mm),151,2x triple (3.6 m2),0.29,0.198,1.578,15.99,3.84,2.51,4.84,3.74,2.33,0.0
36,1,1.9,6.0,4.0,2.8,24.0,1.5,1.19,6.4,straw_clay (359 mm),359,puf (110 mm) + wood_timber (154 mm),264,puf (61 mm) + concrete (130 mm),191,2x triple (3.6 m2),0.419,0.164,0.327,7.47,4.61,2.3,7.07,4.55,4.77,0.0
37,21,1.1,6.0,4.0,2.8,24.0,1.5,1.19,6.4,adobe (337 mm),337,puf (114 mm) + reinforced_concrete (187 mm),301,stone_masonry (235 mm),235,2x triple (3.6 m2),0.323,0.195,1.661,19.02,3.42,2.2,4.85,3.39,2.66,0.0
38,24,-4.7,6.0,4.0,2.8,24.0,1.5,1.19,6.4,straw_clay (321 mm),321,puf (104 mm) + concrete (128 mm),232,puf (44 mm) + concrete (158 mm),202,2x double (3.6 m2),0.457,0.209,0.417,10.5,3.52,1.2,5.27,3.37,4.07,0.0
39,0,-4.9,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (69 mm) + adobe (303 mm),372,wood_timber (191 mm),191,reinforced_concrete (163 mm),163,2x triple (3.6 m2),0.179,0.508,1.752,11.01,3.1,1.26,4.74,2.99,3.48,0.0
40,35,-5.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,straw_clay (397 mm),397,puf (119 mm) + concrete (187 mm),306,stone_masonry (276 mm),276,2x double (3.6 m2),0.386,0.184,1.613,17.58,2.84,1.24,4.8,2.79,3.56,0.0
41,43,-7.2,6.0,4.0,2.8,24.0,1.5,1.19,6.4,straw_clay (381 mm),381,puf (84 mm) + wood_timber (197 mm),281,stone_masonry (342 mm),342,2x double (3.6 m2),0.399,0.186,1.542,16.11,2.77,1.02,4.78,2.68,3.76,0.0
42,13,-9.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (96 mm) + straw_clay (355 mm),451,straw_clay (219 mm),219,concrete (150 mm),150,2x double (3.6 m2),0.161,0.605,1.58,8.66,3.0,0.47,4.96,2.81,4.49,0.0
43,22,-26.4,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (100 mm) + rammed_earth (458 mm),558,concrete (184 mm),184,puf (58 mm) + stone_masonry (233 mm),291,2x double (3.6 m2),0.197,1.509,0.342,24.93,0.37,-1.14,4.8,0.98,5.94,0.0
44,15,-46.1,6.0,4.0,2.8,24.0,1.5,1.19,6.4,puf (112 mm) + adobe (434 mm),546,reinforced_concrete (194 mm),194,concrete (140 mm),140,2x double (3.6 m2),0.12,1.711,1.603,13.37,-1.35,-3.86,4.55,-1.09,8.41,0.0
45,12,-53.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,rammed_earth (329 mm),329,puf (114 mm) + reinforced_concrete (186 mm),300,puf (81 mm) + stone_masonry (152 mm),233,2x double (3.6 m2),1.097,0.195,0.263,21.18,-2.66,-4.52,4.68,-1.59,9.2,0.0
46,26,-54.8,6.0,4.0,2.8,24.0,1.5,1.19,6.4,stone_masonry (433 mm),433,puf (77 mm) + reinforced_concrete (180 mm),257,puf (69 mm) + reinforced_concrete (178 mm),247,2x double (3.6 m2),1.453,0.273,0.3,43.39,-2.19,-4.91,4.79,-1.44,9.7,0.0
47,30,-61.6,6.0,4.0,2.8,24.0,1.5,1.19,6.4,stone_masonry (447 mm),447,puf (60 mm) + wood_timber (131 mm),191,concrete (147 mm),147,2x double (3.6 m2),1.44,0.256,1.587,37.21,-3.31,-5.56,4.73,-2.27,10.3,0.0
48,9,-66.6,6.0,4.0,2.8,24.0,1.5,1.19,6.4,rammed_earth (353 mm),353,puf (81 mm) + wood_timber (104 mm),185,reinforced_concrete (169 mm),169,2x single (3.6 m2),1.062,0.22,1.744,16.31,-3.66,-6.35,4.45,-3.13,10.8,0.0
49,33,-85.2,6.0,4.0,2.8,24.0,1.5,1.19,6.4,rammed_earth (436 mm),436,reinforced_concrete (186 mm),186,puf (77 mm) + reinforced_concrete (154 mm),231,2x double (3.6 m2),0.957,1.722,0.274,22.7,-6.2,-8.32,4.56,-4.64,12.88,0.0
50,17,-92.5,6.0,4.0,2.8,24.0,1.5,1.19,6.4,stone_masonry (302 mm),302,concrete (198 mm),198,reinforced_concrete (135 mm),135,2x triple (3.6 m2),1.584,1.481,1.79,32.14,-7.07,-9.17,4.57,-5.45,13.74,0.0
