rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
11,16,-68.8,6.0,4.29,2.75,25.7,1.397,1.163,12.4,puf (55 mm) + straw_clay (287 mm),342,puf (78 mm) + concrete (194 mm),272,puf (69 mm) + reinforced_concrete (176 mm),245,5x double (7.0 m2),0.238,0.264,0.3,14.3,-1.25,-5.36,14.39,0.73,19.75,0.0
12,11,-72.6,5.99,3.65,2.66,21.9,1.64,1.258,19.1,adobe (319 mm),319,puf (64 mm) + concrete (159 mm),223,reinforced_concrete (135 mm),135,7x triple (9.8 m2),0.339,0.312,1.79,11.31,-1.7,-5.89,14.08,-0.58,19.97,0.0
13,10,-73.4,6.56,3.68,2.94,24.1,1.782,1.189,16.3,stone_masonry (529 mm),529,puf (55 mm) + wood_timber (187 mm),242,stone_masonry (249 mm),249,7x double (9.8 m2),1.37,0.242,1.644,46.34,-1.2,-6.17,14.56,0.56,20.73,0.0
14,19,-78.1,6.01,4.95,2.7,29.7,1.213,1.107,16.5,rammed_earth (456 mm),456,puf (87 mm) + reinforced_concrete (182 mm),269,puf (69 mm) + stone_masonry (257 mm),326,7x triple (9.8 m2),0.935,0.246,0.297,29.98,-1.61,-6.8,14.53,0.25,21.34,0.0
15,3,-81.9,6.15,3.74,2.67,23.0,1.643,1.234,10.6,adobe (383 mm),383,puf (100 mm) + reinforced_concrete (129 mm),229,reinforced_concrete (194 mm),194,4x triple (5.6 m2),0.29,0.219,1.711,13.75,-3.53,-6.5,14.34,-1.09,20.84,0.0
16,0,-84.7,5.62,4.32,2.68,24.3,1.301,1.191,15.8,adobe (301 mm),301,puf (62 mm) + wood_timber (154 mm),216,puf (61 mm) + reinforced_concrete (122 mm),183,6x double (8.4 m2),0.355,0.24,0.334,9.08,-2.2,-7.85,13.95,-1.33,21.79,0.0
17,1,-87.5,5.65,3.46,3.0,19.6,1.634,1.265,15.4,straw_clay (353 mm),353,puf (98 mm) + concrete (131 mm),229,concrete (162 mm),162,6x double (8.4 m2),0.424,0.22,1.554,8.88,-2.64,-8.17,13.74,-2.07,21.91,0.0
18,17,-93.8,6.38,3.96,2.63,25.3,1.609,1.198,12.9,puf (63 mm) + straw_clay (266 mm),329,puf (78 mm) + reinforced_concrete (139 mm),217,concrete (178 mm),178,5x single (7.0 m2),0.226,0.272,1.521,12.37,-4.02,-8.52,13.9,-2.78,22.42,0.0
19,12,-121.9,6.35,4.01,2.76,25.4,1.584,1.177,17.2,rammed_earth (313 mm),313,straw_clay (317 mm),317,puf (61 mm) + stone_masonry (167 mm),228,7x triple (9.8 m2),1.122,0.461,0.332,16.61,-7.74,-11.56,14.08,-4.99,25.64,0.0
20,13,-125.6,6.94,4.61,2.6,32.0,1.505,1.107,16.3,straw_clay (326 mm),326,reinforced_concrete (193 mm),193,puf (83 mm) + stone_masonry (209 mm),292,7x triple (9.8 m2),0.451,1.713,0.256,21.56,-8.09,-12.02,14.18,-4.99,26.2,0.0
