rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
20,11,-59.4,5.71,4.56,2.86,26.0,1.253,1.138,16.7,puf (101 mm) + concrete (237 mm),338,puf (65 mm) + wood_timber (156 mm),221,reinforced_concrete (140 mm),140,7x double (9.8 m2),0.211,0.233,1.783,16.98,-0.47,-4.1,14.28,0.91,18.38,0.0
21,21,-62.2,5.45,4.83,2.33,26.3,1.129,1.21,17.5,puf (94 mm) + straw_clay (333 mm),427,puf (92 mm) + straw_clay (229 mm),321,stone_masonry (190 mm),190,6x double (8.4 m2),0.166,0.186,1.716,11.87,-0.49,-4.65,14.13,0.48,18.77,0.0
22,23,-64.2,4.68,4.57,2.57,21.4,1.025,1.255,17.7,straw_clay (368 mm),368,puf (100 mm) + reinforced_concrete (151 mm),251,stone_masonry (266 mm),266,6x double (8.4 m2),0.41,0.219,1.624,15.29,-1.01,-4.68,14.29,0.53,18.97,0.0
23,8,-64.4,6.01,4.07,2.98,24.5,1.475,1.159,14.0,puf (114 mm) + adobe (468 mm),582,puf (92 mm) + reinforced_concrete (168 mm),260,concrete (145 mm),145,6x triple (8.4 m2),0.115,0.235,1.592,12.5,-1.2,-4.61,14.27,0.34,18.88,0.0
24,29,-71.3,5.83,4.2,2.7,24.5,1.39,1.19,12.9,puf (51 mm) + straw_clay (359 mm),410,puf (79 mm) + concrete (180 mm),259,puf (44 mm) + reinforced_concrete (131 mm),175,5x double (7.0 m2),0.226,0.262,0.432,11.85,-1.55,-5.68,14.28,0.12,19.96,0.0
25,19,-72.2,5.59,3.32,2.96,18.6,1.681,1.298,13.3,puf (86 mm) + adobe (493 mm),579,puf (106 mm) + wood_timber (128 mm),234,concrete (171 mm),171,5x triple (7.0 m2),0.129,0.175,1.535,6.59,-1.28,-6.08,13.93,-0.6,20.0,0.0
26,1,-72.5,5.44,4.99,2.85,27.1,1.09,1.119,11.8,puf (119 mm) + rammed_earth (332 mm),451,puf (83 mm) + reinforced_concrete (170 mm),253,puf (65 mm) + reinforced_concrete (140 mm),205,5x single (7.0 m2),0.176,0.257,0.316,21.05,-1.54,-5.87,14.44,0.54,20.31,0.0
27,28,-72.9,4.96,4.54,2.41,22.5,1.092,1.258,12.2,adobe (434 mm),434,puf (96 mm) + reinforced_concrete (168 mm),264,reinforced_concrete (196 mm),196,4x triple (5.6 m2),0.261,0.227,1.709,13.79,-2.39,-5.49,14.4,-0.13,19.89,0.0
28,9,-81.2,4.94,4.41,2.87,21.8,1.12,1.207,10.4,puf (58 mm) + straw_clay (387 mm),445,puf (51 mm) + straw_clay (237 mm),288,puf (68 mm) + stone_masonry (158 mm),226,4x double (5.6 m2),0.206,0.264,0.304,9.79,-2.68,-6.88,14.25,-0.82,21.13,0.0
29,10,-83.1,5.38,4.53,2.76,24.4,1.189,1.175,15.3,puf (63 mm) + concrete (207 mm),270,puf (106 mm) + straw_clay (328 mm),434,puf (57 mm) + reinforced_concrete (145 mm),202,6x single (8.4 m2),0.312,0.155,0.352,15.8,-2.76,-7.19,14.18,-1.1,21.38,0.0
30,4,-88.5,6.46,4.86,2.93,31.4,1.328,1.062,12.7,puf (60 mm) + straw_clay (389 mm),449,puf (63 mm) + wood_timber (188 mm),251,concrete (150 mm),150,6x double (8.4 m2),0.202,0.224,1.58,9.63,-3.07,-8.15,13.67,-2.5,21.81,0.0
31,32,-89.7,6.87,4.28,2.44,29.4,1.604,1.167,12.8,puf (70 mm) + concrete (197 mm),267,straw_clay (243 mm),243,puf (44 mm) + concrete (138 mm),182,5x double (7.0 m2),0.288,0.562,0.42,15.31,-3.82,-7.78,14.3,-1.47,22.08,0.0
32,12,-93.3,5.82,4.58,2.56,26.6,1.271,1.171,18.4,puf (88 mm) + adobe (349 mm),437,puf (82 mm) + wood_timber (108 mm),190,reinforced_concrete (144 mm),144,7x single (9.8 m2),0.149,0.217,1.777,9.73,-2.87,-9.21,13.37,-2.48,22.58,0.0
33,25,-110.1,6.19,3.65,2.56,22.6,1.698,1.262,16.7,puf (64 mm) + straw_clay (356 mm),420,straw_clay (209 mm),209,concrete (156 mm),156,6x single (8.4 m2),0.203,0.625,1.567,7.77,-4.59,-11.41,13.06,-4.14,24.47,0.0
34,26,-116.7,5.34,4.08,2.44,21.8,1.309,1.275,12.2,rammed_earth (361 mm),361,puf (55 mm) + straw_clay (263 mm),318,concrete (136 mm),136,4x double (5.6 m2),1.051,0.245,1.612,12.48,-7.3,-10.91,13.9,-5.24,24.81,0.0
35,0,-117.2,5.69,4.74,2.84,27.0,1.199,1.125,14.2,puf (71 mm) + adobe (301 mm),372,reinforced_concrete (184 mm),184,puf (55 mm) + concrete (140 mm),195,6x double (8.4 m2),0.177,1.724,0.354,15.27,-6.96,-11.15,14.01,-4.73,25.16,0.0
