rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
25,6,-23.8,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (115 mm) + rammed_earth (491 mm),606,puf (80 mm) + straw_clay (293 mm),373,concrete (157 mm),157,2x triple (3.6 m2),0.175,0.191,1.565,26.32,0.37,-0.67,4.81,0.99,5.48,0.0
26,25,-24.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (91 mm) + reinforced_concrete (243 mm),334,puf (108 mm) + wood_timber (190 mm),298,concrete (177 mm),177,2x double (3.6 m2),0.236,0.159,1.523,30.34,0.4,-0.74,4.82,1.01,5.56,0.0
27,29,-24.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (100 mm) + straw_clay (358 mm),458,puf (93 mm) + straw_clay (237 mm),330,stone_masonry (229 mm),229,2x triple (3.6 m2),0.157,0.183,1.668,23.71,0.34,-0.74,4.79,0.88,5.53,0.0
28,11,-25.4,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (91 mm) + reinforced_concrete (205 mm),296,puf (107 mm) + concrete (170 mm),277,concrete (164 mm),164,2x double (3.6 m2),0.236,0.203,1.55,33.31,0.3,-0.92,4.82,0.92,5.74,0.0
29,36,-25.8,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (66 mm) + reinforced_concrete (228 mm),294,puf (90 mm) + concrete (174 mm),264,stone_masonry (273 mm),273,2x triple (3.6 m2),0.309,0.235,1.616,46.67,0.47,-1.07,4.87,0.97,5.94,0.0
30,37,-25.9,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (101 mm) + rammed_earth (404 mm),505,puf (70 mm) + straw_clay (304 mm),374,stone_masonry (189 mm),189,2x triple (3.6 m2),0.198,0.204,1.718,30.53,0.19,-0.95,4.82,0.82,5.77,0.0
31,28,-26.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (116 mm) + rammed_earth (402 mm),518,puf (61 mm) + wood_timber (188 mm),249,stone_masonry (194 mm),194,2x double (3.6 m2),0.177,0.228,1.711,29.26,0.16,-0.98,4.8,0.77,5.78,0.0
32,40,-27.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (63 mm) + rammed_earth (401 mm),464,puf (89 mm) + wood_timber (107 mm),196,stone_masonry (314 mm),314,2x double (3.6 m2),0.284,0.205,1.571,36.91,0.18,-1.16,4.83,0.79,5.99,0.0
33,42,-29.8,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (74 mm) + straw_clay (295 mm),369,puf (93 mm) + concrete (151 mm),244,concrete (199 mm),199,2x double (3.6 m2),0.199,0.23,1.479,21.04,-0.05,-1.55,4.73,0.38,6.28,0.0
34,21,-31.3,8.0,6.0,2.4,48.0,1.333,1.0,5.4,adobe (337 mm),337,puf (114 mm) + reinforced_concrete (187 mm),301,stone_masonry (235 mm),235,2x triple (3.6 m2),0.323,0.195,1.661,34.36,-0.3,-1.66,4.82,0.37,6.48,0.0
35,41,-34.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (69 mm) + concrete (208 mm),277,puf (75 mm) + straw_clay (296 mm),371,concrete (151 mm),151,2x triple (3.6 m2),0.29,0.198,1.578,23.56,-0.76,-1.96,4.75,-0.05,6.71,0.0
36,35,-35.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,straw_clay (397 mm),397,puf (119 mm) + concrete (187 mm),306,stone_masonry (276 mm),276,2x double (3.6 m2),0.386,0.184,1.613,32.5,-0.77,-2.13,4.79,-0.02,6.92,0.0
37,43,-37.3,8.0,6.0,2.4,48.0,1.333,1.0,5.4,straw_clay (381 mm),381,puf (84 mm) + wood_timber (197 mm),281,stone_masonry (342 mm),342,2x double (3.6 m2),0.399,0.186,1.542,29.53,-1.05,-2.36,4.76,-0.23,7.12,0.0
38,45,-37.8,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (84 mm) + concrete (250 mm),334,straw_clay (239 mm),239,puf (50 mm) + reinforced_concrete (155 mm),205,2x double (3.6 m2),0.245,0.569,0.39,28.36,-0.81,-2.58,4.78,-0.07,7.37,0.0
39,1,-40.9,8.0,6.0,2.4,48.0,1.333,1.0,5.4,straw_clay (359 mm),359,puf (110 mm) + wood_timber (154 mm),264,puf (61 mm) + concrete (130 mm),191,2x triple (3.6 m2),0.419,0.164,0.327,12.22,-0.8,-3.2,4.61,-0.47,7.81,0.0
40,24,-41.8,8.0,6.0,2.4,48.0,1.333,1.0,5.4,straw_clay (321 mm),321,puf (104 mm) + concrete (128 mm),232,puf (44 mm) + concrete (158 mm),202,2x double (3.6 m2),0.457,0.209,0.417,18.24,-1.21,-3.12,4.68,-0.6,7.8,0.0
41,0,-47.0,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (69 mm) + adobe (303 mm),372,wood_timber (191 mm),191,reinforced_concrete (163 mm),163,2x triple (3.6 m2),0.179,0.508,1.752,18.13,-2.01,-3.65,4.61,-1.41,8.27,0.0
42,13,-52.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (96 mm) + straw_clay (355 mm),451,straw_clay (219 mm),219,concrete (150 mm),150,2x double (3.6 m2),0.161,0.605,1.58,14.58,-2.22,-4.49,4.48,-1.89,8.98,0.0
43,26,-67.3,8.0,6.0,2.4,48.0,1.333,1.0,5.4,stone_masonry (433 mm),433,puf (77 mm) + reinforced_concrete (180 mm),257,puf (69 mm) + reinforced_concrete (178 mm),247,2x double (3.6 m2),1.453,0.273,0.3,61.66,-3.3,-6.58,4.79,-2.49,11.37,0.0
44,22,-70.2,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (100 mm) + rammed_earth (458 mm),558,concrete (184 mm),184,puf (58 mm) + stone_masonry (233 mm),291,2x double (3.6 m2),0.197,1.509,0.342,40.26,-3.98,-6.76,4.73,-2.94,11.49,0.0
45,12,-70.7,8.0,6.0,2.4,48.0,1.333,1.0,5.4,rammed_earth (329 mm),329,puf (114 mm) + reinforced_concrete (186 mm),300,puf (81 mm) + stone_masonry (152 mm),233,2x double (3.6 m2),1.097,0.195,0.263,34.73,-4.14,-6.76,4.71,-3.02,11.47,0.0
46,30,-76.0,8.0,6.0,2.4,48.0,1.333,1.0,5.4,stone_masonry (447 mm),447,puf (60 mm) + wood_timber (131 mm),191,concrete (147 mm),147,2x double (3.6 m2),1.44,0.256,1.587,48.58,-4.96,-7.29,4.69,-3.7,11.99,0.0
47,9,-79.4,8.0,6.0,2.4,48.0,1.333,1.0,5.4,rammed_earth (353 mm),353,puf (81 mm) + wood_timber (104 mm),185,reinforced_concrete (169 mm),169,2x single (3.6 m2),1.062,0.22,1.744,24.59,-5.54,-7.65,4.45,-4.54,12.11,0.0
48,15,-84.1,8.0,6.0,2.4,48.0,1.333,1.0,5.4,puf (112 mm) + adobe (434 mm),546,reinforced_concrete (194 mm),194,concrete (140 mm),140,2x double (3.6 m2),0.12,1.711,1.603,23.76,-6.13,-8.19,4.44,-5.02,12.63,0.0
49,17,-106.3,8.0,6.0,2.4,48.0,1.333,1.0,5.4,stone_masonry (302 mm),302,concrete (198 mm),198,reinforced_concrete (135 mm),135,2x triple (3.6 m2),1.584,1.481,1.79,46.13,-8.78,-10.76,4.51,-6.9,15.28,0.0
50,33,-111.6,8.0,6.0,2.4,48.0,1.333,1.0,5.4,rammed_earth (436 mm),436,reinforced_concrete (186 mm),186,puf (77 mm) + reinforced_concrete (154 mm),231,2x double (3.6 m2),0.957,1.722,0.274,36.1,-9.0,-11.61,4.52,-7.11,16.13,0.0
