rank,design_id,comfort_score,length_m,width_m,height_m,floor_area_m2,aspect_ratio,av_ratio,wwr_percent,walls,wall_thickness_mm,roof,roof_thickness_mm,floor,floor_thickness_mm,windows,U_wall_W_m2K,U_roof_W_m2K,U_floor_W_m2K,C_total_MJ_per_K,T_median_C,T_min_C,T_max_C,T_avg_C,swing_C,hours_in_band_pct
28,40,40.1,6.68,4.38,2.65,29.3,1.524,1.134,19.1,straw_clay (350 mm),350,puf (94 mm) + wood_timber (125 mm),219,puf (71 mm) + reinforced_concrete (135 mm),206,8x triple (11.2 m2),0.427,0.192,0.294,9.39,12.59,7.02,18.36,12.6,11.34,26.4
29,10,37.8,6.56,3.68,2.94,24.1,1.782,1.189,16.3,stone_masonry (529 mm),529,puf (55 mm) + wood_timber (187 mm),242,stone_masonry (249 mm),249,7x double (9.8 m2),1.37,0.242,1.644,46.34,10.59,7.65,14.68,10.81,7.02,0.0
30,39,35.3,4.92,4.67,2.61,23.0,1.053,1.218,19.6,rammed_earth (385 mm),385,puf (108 mm) + concrete (172 mm),280,puf (47 mm) + concrete (193 mm),240,7x double (9.8 m2),1.019,0.201,0.392,16.7,11.46,6.83,16.03,11.4,9.2,6.9
31,26,34.2,6.23,4.67,2.52,29.1,1.334,1.146,12.7,puf (92 mm) + rammed_earth (329 mm),421,puf (101 mm) + concrete (165 mm),266,reinforced_concrete (153 mm),153,5x double (7.0 m2),0.218,0.213,1.765,19.67,10.37,7.08,14.57,10.69,7.49,0.0
32,41,33.7,5.42,4.27,2.62,23.1,1.272,1.22,16.6,rammed_earth (453 mm),453,puf (52 mm) + reinforced_concrete (173 mm),225,puf (85 mm) + concrete (163 mm),248,6x double (8.4 m2),0.938,0.377,0.247,18.94,10.96,6.73,15.14,10.92,8.41,2.8
33,6,33.6,4.95,4.57,2.31,22.7,1.083,1.274,15.9,puf (56 mm) + adobe (355 mm),411,puf (116 mm) + concrete (130 mm),246,concrete (150 mm),150,5x double (7.0 m2),0.183,0.19,1.58,9.65,11.41,6.6,16.35,11.39,9.75,8.3
34,32,32.8,6.04,3.69,2.4,22.3,1.637,1.289,12.0,puf (102 mm) + adobe (472 mm),574,puf (82 mm) + concrete (188 mm),270,concrete (180 mm),180,4x double (5.6 m2),0.122,0.253,1.517,10.85,10.96,6.6,15.09,10.79,8.49,1.4
35,44,31.3,4.47,4.27,2.68,19.1,1.048,1.289,12.0,puf (96 mm) + rammed_earth (303 mm),399,puf (71 mm) + reinforced_concrete (176 mm),247,reinforced_concrete (181 mm),181,4x single (5.6 m2),0.212,0.293,1.728,16.25,10.45,6.54,14.67,10.58,8.13,0.0
36,25,30.3,5.02,4.41,2.73,22.1,1.139,1.219,10.9,puf (100 mm) + straw_clay (400 mm),500,straw_clay (325 mm),325,puf (48 mm) + concrete (155 mm),203,4x double (5.6 m2),0.151,0.452,0.391,7.91,11.25,6.09,16.44,11.21,10.35,8.3
37,30,29.1,4.82,4.27,2.46,20.6,1.129,1.289,12.5,puf (102 mm) + adobe (386 mm),488,puf (96 mm) + concrete (180 mm),276,concrete (142 mm),142,4x triple (5.6 m2),0.132,0.222,1.598,9.83,10.16,6.24,14.48,10.32,8.24,0.0
38,11,29.0,5.99,3.65,2.66,21.9,1.64,1.258,19.1,adobe (319 mm),319,puf (64 mm) + concrete (159 mm),223,reinforced_concrete (135 mm),135,7x triple (9.8 m2),0.339,0.312,1.79,11.31,10.9,6.0,15.85,10.85,9.85,5.6
39,33,26.8,5.0,4.59,2.31,23.0,1.089,1.268,19.0,puf (78 mm) + adobe (340 mm),418,straw_clay (230 mm),230,reinforced_concrete (189 mm),189,6x double (8.4 m2),0.16,0.585,1.718,10.43,10.98,5.67,16.5,10.99,10.83,6.9
40,43,23.8,5.16,3.96,2.84,20.4,1.305,1.245,13.5,puf (104 mm) + straw_clay (365 mm),469,puf (62 mm) + straw_clay (244 mm),306,concrete (172 mm),172,5x triple (7.0 m2),0.152,0.235,1.533,7.82,10.49,5.25,15.6,10.34,10.35,4.2
41,24,23.2,6.56,4.85,2.48,31.9,1.352,1.119,12.3,puf (84 mm) + adobe (494 mm),578,wood_timber (196 mm),196,stone_masonry (317 mm),317,5x triple (7.0 m2),0.131,0.498,1.568,18.82,9.14,5.75,14.55,9.59,8.8,0.0
42,31,22.5,4.35,4.33,2.67,18.8,1.004,1.297,12.1,puf (66 mm) + adobe (451 mm),517,puf (67 mm) + straw_clay (268 mm),335,reinforced_concrete (168 mm),168,4x triple (5.6 m2),0.151,0.218,1.745,8.29,9.82,5.23,14.48,9.8,9.25,0.0
43,36,20.7,6.15,4.61,2.4,28.4,1.333,1.176,10.9,puf (83 mm) + adobe (447 mm),530,straw_clay (248 mm),248,puf (90 mm) + concrete (143 mm),233,4x triple (5.6 m2),0.138,0.554,0.237,9.21,9.72,4.99,14.64,9.79,9.64,0.0
44,3,18.9,6.15,3.74,2.67,23.0,1.643,1.234,10.6,adobe (383 mm),383,puf (100 mm) + reinforced_concrete (129 mm),229,reinforced_concrete (194 mm),194,4x triple (5.6 m2),0.29,0.219,1.711,13.75,8.72,5.19,14.51,9.26,9.32,0.0
45,1,18.0,5.65,3.46,3.0,19.6,1.634,1.265,15.4,straw_clay (353 mm),353,puf (98 mm) + concrete (131 mm),229,concrete (162 mm),162,6x double (8.4 m2),0.424,0.22,1.554,8.88,10.55,4.38,16.97,10.56,12.58,8.3
46,35,16.7,5.13,4.33,2.7,22.2,1.185,1.223,19.2,straw_clay (398 mm),398,puf (63 mm) + straw_clay (317 mm),380,puf (68 mm) + reinforced_concrete (136 mm),204,7x single (9.8 m2),0.385,0.213,0.305,8.22,11.75,3.73,20.77,12.04,17.04,30.6
47,17,13.4,6.38,3.96,2.63,25.3,1.609,1.198,12.9,puf (63 mm) + straw_clay (266 mm),329,puf (78 mm) + reinforced_concrete (139 mm),217,concrete (178 mm),178,5x single (7.0 m2),0.226,0.272,1.521,12.37,9.59,3.83,15.09,9.39,11.27,1.4
48,12,7.6,6.35,4.01,2.76,25.4,1.584,1.177,17.2,rammed_earth (313 mm),313,straw_clay (317 mm),317,puf (61 mm) + stone_masonry (167 mm),228,7x triple (9.8 m2),1.122,0.461,0.332,16.61,8.22,3.35,14.33,8.63,10.98,0.0
49,13,6.3,6.94,4.61,2.6,32.0,1.505,1.107,16.3,straw_clay (326 mm),326,reinforced_concrete (193 mm),193,puf (83 mm) + stone_masonry (209 mm),292,7x triple (9.8 m2),0.451,1.713,0.256,21.56,7.76,3.38,14.41,8.36,11.02,0.0
50,29,-3.2,5.2,4.27,2.52,22.2,1.217,1.249,11.7,straw_clay (251 mm),251,puf (97 mm) + straw_clay (299 mm),396,stone_masonry (173 mm),173,4x triple (5.6 m2),0.549,0.168,1.738,10.08,6.65,2.23,14.26,7.39,12.02,0.0
